,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
0,Business Entity Type 3,Working,Laborers,,,,,
1,School,State servant,Core staff,,,,Row Labels,Count of ORGANIZATION_TYPE
2,Government,Working,Laborers,,,,Pensioner,8920
3,Business Entity Type 3,Working,Laborers,,,,XNA,8918
4,Religion,Working,Core staff,,,,Business Entity Type 2,1
5,Other,State servant,Laborers,,,,Industry: type 9,1
6,Business Entity Type 3,Commercial associate,Accountants,,,,Working,4119
7,Other,State servant,Managers,,,,Commercial associate,1972
8,XNA,Pensioner,UNKNOWN,,,,State servant,635
9,Electricity,Working,Laborers,,,,Unemployed,6
10,Medicine,Working,Core staff,,,,XNA,6
11,XNA,Pensioner,UNKNOWN,,,,Maternity leave,1
12,Business Entity Type 2,Working,Laborers,,,,Business Entity Type 1,1
13,Self-employed,Working,Drivers,,,,Student,1
14,Transport: type 2,Working,Laborers,,,,Business Entity Type 2,1
15,Business Entity Type 2,Working,Laborers,,,,Grand Total,15654
16,Government,Working,Drivers,,,,,
17,Construction,Working,Laborers,,,,,
18,Housing,Working,Laborers,,,,,
19,Kindergarten,State servant,Core staff,,,,,
20,Self-employed,Working,Laborers,,,,,
21,Trade: type 7,Commercial associate,Sales staff,,,,,
22,Self-employed,Working,Sales staff,,,,,
23,XNA,Pensioner,UNKNOWN,,,,,
24,Business Entity Type 3,Working,Drivers,,,,,
25,Business Entity Type 3,Working,Cleaning staff,,,,,
26,Business Entity Type 3,Working,Cooking staff,,,,,
27,Industry: type 11,Working,Laborers,,,,,
28,Military,State servant,UNKNOWN,,,,,
29,Business Entity Type 3,Working,Laborers,,,,,
30,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
31,Services,Working,Private service staff,,,,,
32,Business Entity Type 2,Working,Laborers,,,,,
33,Self-employed,Commercial associate,Drivers,,,,,
34,Security Ministries,State servant,Core staff,,,,,
35,Self-employed,Working,Sales staff,,,,,
36,Other,Commercial associate,Private service staff,,,,,
37,Transport: type 4,Working,Drivers,,,,,
38,XNA,Pensioner,UNKNOWN,,,,,
39,Business Entity Type 3,Working,Managers,,,,,
40,Business Entity Type 3,Commercial associate,Laborers,,,,,
41,Industry: type 1,Working,Laborers,,,,,
42,Self-employed,Working,Sales staff,,,,,
43,XNA,Pensioner,UNKNOWN,,,,,
44,Business Entity Type 3,Working,UNKNOWN,,,,,
45,Self-employed,Working,Sales staff,,,,,
46,XNA,Pensioner,UNKNOWN,,,,,
47,Business Entity Type 3,Working,Medicine staff,,,,,
48,Government,State servant,Managers,,,,,
49,Transport: type 2,Working,Laborers,,,,,
50,School,State servant,Core staff,,,,,
51,Services,Commercial associate,Managers,,,,,
52,Emergency,Working,UNKNOWN,,,,,
53,Self-employed,Commercial associate,Core staff,,,,,
54,XNA,Pensioner,UNKNOWN,,,,,
55,Medicine,Working,Managers,,,,,
56,XNA,Pensioner,UNKNOWN,,,,,
57,Security,Working,Security staff,,,,,
58,Transport: type 4,Working,Laborers,,,,,
59,Business Entity Type 3,Working,Managers,,,,,
60,Industry: type 11,Commercial associate,Accountants,,,,,
61,Trade: type 2,Working,Sales staff,,,,,
62,XNA,Pensioner,UNKNOWN,,,,,
63,University,Working,UNKNOWN,,,,,
64,Transport: type 3,Commercial associate,Drivers,,,,,
65,Police,Commercial associate,Core staff,,,,,
66,Government,State servant,Core staff,,,,,
67,Construction,Working,Laborers,,,,,
68,Kindergarten,Commercial associate,Sales staff,,,,,
69,Other,Commercial associate,Laborers,,,,,
70,Business Entity Type 3,Commercial associate,Laborers,,,,,
71,Business Entity Type 3,Working,Laborers,,,,,
72,Business Entity Type 3,Working,Laborers,,,,,
73,Business Entity Type 1,Working,Drivers,,,,,
74,Self-employed,Commercial associate,Laborers,,,,,
75,Self-employed,Working,Cooking staff,,,,,
76,School,Commercial associate,UNKNOWN,,,,,
77,Self-employed,Working,Laborers,,,,,
78,Postal,Working,Core staff,,,,,
79,XNA,Pensioner,UNKNOWN,,,,,
80,Trade: type 7,Working,Sales staff,,,,,
81,XNA,Pensioner,UNKNOWN,,,,,
82,Business Entity Type 3,Working,UNKNOWN,,,,,
83,Transport: type 3,Working,Drivers,,,,,
84,XNA,Pensioner,UNKNOWN,,,,,
85,Industry: type 11,Working,Managers,,,,,
86,Business Entity Type 1,State servant,High skill tech staff,,,,,
87,Transport: type 4,Working,Laborers,,,,,
88,School,Working,UNKNOWN,,,,,
89,Business Entity Type 3,Working,Waiters/barmen staff,,,,,
90,Government,Working,Managers,,,,,
91,Business Entity Type 3,Working,Sales staff,,,,,
92,Housing,Commercial associate,Laborers,,,,,
93,Business Entity Type 3,Commercial associate,Sales staff,,,,,
94,Industry: type 4,Commercial associate,UNKNOWN,,,,,
95,Agriculture,Working,Low-skill Laborers,,,,,
96,Restaurant,Commercial associate,Laborers,,,,,
97,Business Entity Type 3,Working,UNKNOWN,,,,,
98,Kindergarten,Working,Core staff,,,,,
99,XNA,Pensioner,UNKNOWN,,,,,
100,Medicine,Working,Medicine staff,,,,,
101,Government,Working,Core staff,,,,,
102,Business Entity Type 2,Working,Low-skill Laborers,,,,,
103,Other,Commercial associate,Core staff,,,,,
104,Medicine,Working,Security staff,,,,,
105,XNA,Pensioner,UNKNOWN,,,,,
106,XNA,Pensioner,UNKNOWN,,,,,
107,Transport: type 4,Working,UNKNOWN,,,,,
108,XNA,Pensioner,UNKNOWN,,,,,
109,Business Entity Type 1,Working,UNKNOWN,,,,,
110,Trade: type 2,Commercial associate,Sales staff,,,,,
111,Other,Commercial associate,Realty agents,,,,,
112,Business Entity Type 2,Commercial associate,Cleaning staff,,,,,
113,Government,Working,Core staff,,,,,
114,Medicine,Commercial associate,Secretaries,,,,,
115,Business Entity Type 3,Commercial associate,Laborers,,,,,
116,Business Entity Type 3,State servant,Laborers,,,,,
117,XNA,Pensioner,UNKNOWN,,,,,
118,XNA,Pensioner,UNKNOWN,,,,,
119,Business Entity Type 3,Working,UNKNOWN,,,,,
120,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
121,Transport: type 2,State servant,High skill tech staff,,,,,
122,Government,State servant,Core staff,,,,,
123,Self-employed,Working,Sales staff,,,,,
124,Self-employed,Working,Laborers,,,,,
125,XNA,Pensioner,UNKNOWN,,,,,
126,Business Entity Type 3,Working,Laborers,,,,,
127,Other,Commercial associate,Medicine staff,,,,,
128,Self-employed,Working,Low-skill Laborers,,,,,
129,Business Entity Type 3,Commercial associate,Accountants,,,,,
130,Self-employed,Working,Sales staff,,,,,
131,Construction,Working,Drivers,,,,,
132,Self-employed,Working,Drivers,,,,,
133,Construction,Working,Laborers,,,,,
134,Medicine,Commercial associate,Medicine staff,,,,,
135,Business Entity Type 3,Working,UNKNOWN,,,,,
136,Culture,Commercial associate,Core staff,,,,,
137,Trade: type 7,Commercial associate,Sales staff,,,,,
138,Business Entity Type 3,Working,Managers,,,,,
139,Self-employed,Commercial associate,Sales staff,,,,,
140,XNA,Pensioner,UNKNOWN,,,,,
141,Other,Working,UNKNOWN,,,,,
142,Self-employed,Commercial associate,Core staff,,,,,
143,XNA,Pensioner,UNKNOWN,,,,,
144,Government,Working,Core staff,,,,,
145,Hotel,Commercial associate,UNKNOWN,,,,,
146,Government,Working,Core staff,,,,,
147,Self-employed,Working,Sales staff,,,,,
148,Industry: type 7,Working,UNKNOWN,,,,,
149,Government,Working,Laborers,,,,,
150,Self-employed,Working,UNKNOWN,,,,,
151,Self-employed,Working,UNKNOWN,,,,,
152,Trade: type 7,Commercial associate,Managers,,,,,
153,Transport: type 4,Commercial associate,Accountants,,,,,
154,Business Entity Type 3,Working,Private service staff,,,,,
155,Government,Working,Core staff,,,,,
156,XNA,Pensioner,UNKNOWN,,,,,
157,XNA,Pensioner,UNKNOWN,,,,,
158,XNA,Pensioner,UNKNOWN,,,,,
159,School,Working,Core staff,,,,,
160,Trade: type 7,Working,Sales staff,,,,,
161,Government,Commercial associate,Laborers,,,,,
162,Business Entity Type 2,Working,High skill tech staff,,,,,
163,Trade: type 3,Commercial associate,Core staff,,,,,
164,Other,Commercial associate,UNKNOWN,,,,,
165,Industry: type 3,Working,Laborers,,,,,
166,Trade: type 3,Commercial associate,UNKNOWN,,,,,
167,Construction,Working,Secretaries,,,,,
168,Self-employed,Working,Sales staff,,,,,
169,Self-employed,Working,Drivers,,,,,
170,Industry: type 3,Working,Cleaning staff,,,,,
171,Business Entity Type 3,Working,UNKNOWN,,,,,
172,Trade: type 2,Commercial associate,Core staff,,,,,
173,XNA,Pensioner,UNKNOWN,,,,,
174,XNA,Pensioner,UNKNOWN,,,,,
175,XNA,Pensioner,UNKNOWN,,,,,
176,Housing,Working,Laborers,,,,,
177,Business Entity Type 3,Commercial associate,Drivers,,,,,
178,Government,Working,Waiters/barmen staff,,,,,
179,Self-employed,Commercial associate,Laborers,,,,,
180,Construction,Commercial associate,High skill tech staff,,,,,
181,School,Working,Core staff,,,,,
182,Other,Commercial associate,Cooking staff,,,,,
183,Industry: type 3,Working,Laborers,,,,,
184,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
185,XNA,Pensioner,UNKNOWN,,,,,
186,Business Entity Type 3,Working,Sales staff,,,,,
187,Self-employed,Working,Laborers,,,,,
188,Business Entity Type 3,Commercial associate,Drivers,,,,,
189,Business Entity Type 3,Commercial associate,Core staff,,,,,
190,Self-employed,Commercial associate,Sales staff,,,,,
191,Bank,Commercial associate,UNKNOWN,,,,,
192,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
193,Self-employed,Commercial associate,Sales staff,,,,,
194,Self-employed,Working,Sales staff,,,,,
195,Self-employed,Working,Managers,,,,,
196,Business Entity Type 2,State servant,Laborers,,,,,
197,Medicine,Working,Medicine staff,,,,,
198,Self-employed,Working,Sales staff,,,,,
199,Industry: type 3,Commercial associate,Drivers,,,,,
200,Transport: type 4,Working,UNKNOWN,,,,,
201,Hotel,Working,Core staff,,,,,
202,Military,Working,Cooking staff,,,,,
203,Business Entity Type 2,Working,Laborers,,,,,
204,Trade: type 3,Working,Core staff,,,,,
205,Business Entity Type 3,Commercial associate,Laborers,,,,,
206,Business Entity Type 3,Working,Accountants,,,,,
207,Housing,Working,Laborers,,,,,
208,Business Entity Type 3,Working,Drivers,,,,,
209,Business Entity Type 3,Working,Laborers,,,,,
210,Industry: type 9,Working,Laborers,,,,,
211,Self-employed,Working,Laborers,,,,,
212,Business Entity Type 1,Working,Laborers,,,,,
213,XNA,Pensioner,UNKNOWN,,,,,
214,Industry: type 3,Working,Laborers,,,,,
215,Business Entity Type 3,Working,Laborers,,,,,
216,Other,Working,Drivers,,,,,
217,Self-employed,Working,Sales staff,,,,,
218,Business Entity Type 3,Commercial associate,Drivers,,,,,
219,Business Entity Type 3,Working,Laborers,,,,,
220,XNA,Pensioner,UNKNOWN,,,,,
221,Restaurant,Working,Cooking staff,,,,,
222,XNA,Pensioner,UNKNOWN,,,,,
223,Government,Working,Core staff,,,,,
224,Postal,Commercial associate,Laborers,,,,,
225,Postal,Working,Drivers,,,,,
226,XNA,Pensioner,UNKNOWN,,,,,
227,XNA,Pensioner,UNKNOWN,,,,,
228,Self-employed,Commercial associate,Sales staff,,,,,
229,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
230,Business Entity Type 3,Commercial associate,Managers,,,,,
231,Business Entity Type 3,Working,Laborers,,,,,
232,Business Entity Type 3,Commercial associate,Laborers,,,,,
233,XNA,Pensioner,UNKNOWN,,,,,
234,Business Entity Type 2,Working,Sales staff,,,,,
235,Other,Working,Medicine staff,,,,,
236,Self-employed,Working,Drivers,,,,,
237,XNA,Pensioner,UNKNOWN,,,,,
238,Services,Working,Private service staff,,,,,
239,XNA,Pensioner,UNKNOWN,,,,,
240,XNA,Pensioner,UNKNOWN,,,,,
241,Self-employed,Commercial associate,Sales staff,,,,,
242,Insurance,Commercial associate,Managers,,,,,
243,Self-employed,Commercial associate,Sales staff,,,,,
244,Business Entity Type 3,Working,Laborers,,,,,
245,Self-employed,Working,Cooking staff,,,,,
246,Business Entity Type 3,Working,Drivers,,,,,
247,XNA,Pensioner,UNKNOWN,,,,,
248,Other,Working,Laborers,,,,,
249,Transport: type 4,Working,Managers,,,,,
250,Business Entity Type 3,Working,Core staff,,,,,
251,Self-employed,Working,Sales staff,,,,,
252,XNA,Pensioner,UNKNOWN,,,,,
253,Transport: type 4,Working,Managers,,,,,
254,Transport: type 2,Commercial associate,Core staff,,,,,
255,Business Entity Type 3,Commercial associate,Laborers,,,,,
256,Business Entity Type 3,Commercial associate,Drivers,,,,,
257,Self-employed,Working,Drivers,,,,,
258,Self-employed,Working,Managers,,,,,
259,Medicine,State servant,Medicine staff,,,,,
260,Trade: type 3,Commercial associate,Sales staff,,,,,
261,Business Entity Type 3,Working,Laborers,,,,,
262,Bank,Working,Sales staff,,,,,
263,XNA,Pensioner,UNKNOWN,,,,,
264,Business Entity Type 3,Working,UNKNOWN,,,,,
265,Business Entity Type 3,Working,Sales staff,,,,,
266,Military,State servant,Managers,,,,,
267,Business Entity Type 3,Working,Sales staff,,,,,
268,Postal,State servant,Laborers,,,,,
269,Business Entity Type 3,Working,UNKNOWN,,,,,
270,XNA,Pensioner,UNKNOWN,,,,,
271,Self-employed,Working,Laborers,,,,,
272,Business Entity Type 2,Working,Sales staff,,,,,
273,Medicine,Working,Core staff,,,,,
274,School,Working,Core staff,,,,,
275,Trade: type 7,Working,Core staff,,,,,
276,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
277,Construction,Working,High skill tech staff,,,,,
278,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
279,Business Entity Type 3,Working,Laborers,,,,,
280,Business Entity Type 3,Commercial associate,Managers,,,,,
281,Self-employed,Commercial associate,Sales staff,,,,,
282,Construction,State servant,Laborers,,,,,
283,XNA,Pensioner,UNKNOWN,,,,,
284,Business Entity Type 3,Working,UNKNOWN,,,,,
285,Medicine,State servant,Core staff,,,,,
286,Business Entity Type 3,Working,UNKNOWN,,,,,
287,XNA,Pensioner,UNKNOWN,,,,,
288,Bank,Commercial associate,Core staff,,,,,
289,Other,Working,Security staff,,,,,
290,XNA,Pensioner,UNKNOWN,,,,,
291,Industry: type 3,Commercial associate,Laborers,,,,,
292,Business Entity Type 3,Commercial associate,Realty agents,,,,,
293,Trade: type 6,Working,High skill tech staff,,,,,
294,Business Entity Type 3,Commercial associate,Laborers,,,,,
295,Transport: type 4,Commercial associate,High skill tech staff,,,,,
296,Industry: type 2,Working,Laborers,,,,,
297,Business Entity Type 3,Working,Laborers,,,,,
298,Business Entity Type 3,Working,Drivers,,,,,
299,Business Entity Type 3,Commercial associate,Laborers,,,,,
300,Self-employed,Working,Laborers,,,,,
301,School,State servant,Core staff,,,,,
302,XNA,Pensioner,UNKNOWN,,,,,
303,Business Entity Type 3,Working,UNKNOWN,,,,,
304,XNA,Pensioner,UNKNOWN,,,,,
305,XNA,Pensioner,UNKNOWN,,,,,
306,XNA,Pensioner,UNKNOWN,,,,,
307,Self-employed,Working,Sales staff,,,,,
308,Business Entity Type 3,Commercial associate,Sales staff,,,,,
309,Business Entity Type 2,Working,UNKNOWN,,,,,
310,Business Entity Type 3,Working,Cleaning staff,,,,,
311,Business Entity Type 3,Commercial associate,Accountants,,,,,
312,Business Entity Type 3,Working,Laborers,,,,,
313,Housing,Commercial associate,UNKNOWN,,,,,
314,Trade: type 7,Working,Laborers,,,,,
315,Business Entity Type 2,Commercial associate,Sales staff,,,,,
316,Bank,Commercial associate,Core staff,,,,,
317,Industry: type 11,Working,Laborers,,,,,
318,XNA,Pensioner,UNKNOWN,,,,,
319,Business Entity Type 3,Commercial associate,Managers,,,,,
320,Business Entity Type 3,Working,UNKNOWN,,,,,
321,Self-employed,Commercial associate,Laborers,,,,,
322,XNA,Pensioner,UNKNOWN,,,,,
323,Kindergarten,Commercial associate,Core staff,,,,,
324,XNA,Pensioner,UNKNOWN,,,,,
325,School,State servant,Core staff,,,,,
326,Transport: type 2,Working,Laborers,,,,,
327,Transport: type 1,Commercial associate,UNKNOWN,,,,,
328,Transport: type 3,Working,Drivers,,,,,
329,Business Entity Type 3,Working,High skill tech staff,,,,,
330,Self-employed,Working,Sales staff,,,,,
331,Agriculture,Working,Drivers,,,,,
332,Business Entity Type 3,Working,High skill tech staff,,,,,
333,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
334,Business Entity Type 3,Working,Drivers,,,,,
335,Industry: type 3,Commercial associate,Drivers,,,,,
336,Housing,Working,Secretaries,,,,,
337,Self-employed,Working,Core staff,,,,,
338,Transport: type 4,State servant,High skill tech staff,,,,,
339,Other,Working,Sales staff,,,,,
340,Business Entity Type 3,Working,Laborers,,,,,
341,Police,Working,Core staff,,,,,
342,XNA,Pensioner,UNKNOWN,,,,,
343,Business Entity Type 2,Commercial associate,Drivers,,,,,
344,XNA,Pensioner,UNKNOWN,,,,,
345,Medicine,State servant,Medicine staff,,,,,
346,Police,Working,Cleaning staff,,,,,
347,XNA,Pensioner,UNKNOWN,,,,,
348,XNA,Pensioner,UNKNOWN,,,,,
349,XNA,Pensioner,UNKNOWN,,,,,
350,Business Entity Type 3,Working,Sales staff,,,,,
351,Police,Working,Core staff,,,,,
352,XNA,Pensioner,UNKNOWN,,,,,
353,Government,Working,Security staff,,,,,
354,Business Entity Type 3,Commercial associate,Cleaning staff,,,,,
355,Industry: type 3,Commercial associate,Drivers,,,,,
356,Business Entity Type 3,Working,Managers,,,,,
357,Self-employed,Working,Managers,,,,,
358,Medicine,Working,Medicine staff,,,,,
359,XNA,Pensioner,UNKNOWN,,,,,
360,Self-employed,Working,Sales staff,,,,,
361,Self-employed,Working,Sales staff,,,,,
362,Hotel,Working,Core staff,,,,,
363,Government,Working,Sales staff,,,,,
364,XNA,Pensioner,UNKNOWN,,,,,
365,Business Entity Type 2,Working,Sales staff,,,,,
366,Business Entity Type 3,Commercial associate,Managers,,,,,
367,Self-employed,Working,High skill tech staff,,,,,
368,Other,Working,Laborers,,,,,
369,Kindergarten,Working,Core staff,,,,,
370,Postal,Working,Managers,,,,,
371,Self-employed,Working,Drivers,,,,,
372,Government,Working,Laborers,,,,,
373,Other,Working,Core staff,,,,,
374,Business Entity Type 3,Working,Laborers,,,,,
375,Government,Working,Secretaries,,,,,
376,Self-employed,Working,Sales staff,,,,,
377,Other,State servant,Medicine staff,,,,,
378,Industry: type 9,Commercial associate,UNKNOWN,,,,,
379,Business Entity Type 3,Commercial associate,Sales staff,,,,,
380,XNA,Pensioner,UNKNOWN,,,,,
381,Industry: type 9,Working,High skill tech staff,,,,,
382,XNA,Pensioner,UNKNOWN,,,,,
383,XNA,Pensioner,UNKNOWN,,,,,
384,Medicine,State servant,Cooking staff,,,,,
385,XNA,Pensioner,UNKNOWN,,,,,
386,Business Entity Type 3,Working,Sales staff,,,,,
387,Business Entity Type 1,Working,Laborers,,,,,
388,Business Entity Type 2,Commercial associate,Laborers,,,,,
389,Business Entity Type 3,Working,UNKNOWN,,,,,
390,Business Entity Type 3,Working,UNKNOWN,,,,,
391,Other,Commercial associate,Managers,,,,,
392,Transport: type 2,Working,Core staff,,,,,
393,Other,Working,Drivers,,,,,
394,Trade: type 2,Working,Core staff,,,,,
395,XNA,Pensioner,UNKNOWN,,,,,
396,Business Entity Type 3,Commercial associate,Drivers,,,,,
397,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
398,School,Working,Core staff,,,,,
399,Business Entity Type 2,Commercial associate,Laborers,,,,,
400,XNA,Pensioner,UNKNOWN,,,,,
401,Self-employed,Working,Drivers,,,,,
402,Business Entity Type 2,Working,Laborers,,,,,
403,Trade: type 3,Working,Laborers,,,,,
404,XNA,Pensioner,UNKNOWN,,,,,
405,Transport: type 4,Commercial associate,Managers,,,,,
406,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
407,Services,Working,Laborers,,,,,
408,Self-employed,Working,Laborers,,,,,
409,Business Entity Type 3,Commercial associate,Managers,,,,,
410,Electricity,Commercial associate,Managers,,,,,
411,Self-employed,Commercial associate,Accountants,,,,,
412,Other,Working,Laborers,,,,,
413,Business Entity Type 3,Working,Drivers,,,,,
414,Business Entity Type 3,Working,Laborers,,,,,
415,Business Entity Type 3,Working,Laborers,,,,,
416,Business Entity Type 3,Commercial associate,IT staff,,,,,
417,Business Entity Type 3,Working,Laborers,,,,,
418,Medicine,Commercial associate,Medicine staff,,,,,
419,Security,Working,Security staff,,,,,
420,XNA,Pensioner,UNKNOWN,,,,,
421,XNA,Pensioner,UNKNOWN,,,,,
422,Other,Commercial associate,Core staff,,,,,
423,Business Entity Type 2,Working,Laborers,,,,,
424,Security,Working,Security staff,,,,,
425,Self-employed,Working,Drivers,,,,,
426,University,State servant,Core staff,,,,,
427,Self-employed,Working,UNKNOWN,,,,,
428,Medicine,Working,UNKNOWN,,,,,
429,Business Entity Type 3,Working,Sales staff,,,,,
430,Business Entity Type 2,Commercial associate,Low-skill Laborers,,,,,
431,Business Entity Type 3,Working,UNKNOWN,,,,,
432,Business Entity Type 3,Working,UNKNOWN,,,,,
433,Business Entity Type 3,Commercial associate,Laborers,,,,,
434,Electricity,Working,Laborers,,,,,
435,Kindergarten,Commercial associate,Core staff,,,,,
436,XNA,Pensioner,UNKNOWN,,,,,
437,Business Entity Type 3,Commercial associate,Core staff,,,,,
438,Transport: type 1,Working,Security staff,,,,,
439,Business Entity Type 3,Working,UNKNOWN,,,,,
440,Trade: type 2,Commercial associate,Sales staff,,,,,
441,Trade: type 3,Commercial associate,Managers,,,,,
442,XNA,Pensioner,UNKNOWN,,,,,
443,Self-employed,Working,Sales staff,,,,,
444,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
445,XNA,Pensioner,UNKNOWN,,,,,
446,Business Entity Type 3,Commercial associate,Laborers,,,,,
447,XNA,Pensioner,UNKNOWN,,,,,
448,XNA,Pensioner,UNKNOWN,,,,,
449,XNA,Pensioner,UNKNOWN,,,,,
450,Business Entity Type 3,Working,Laborers,,,,,
451,XNA,Pensioner,UNKNOWN,,,,,
452,Business Entity Type 3,Working,UNKNOWN,,,,,
